iter	Accuracy	MultiClass
214	0.718375	0.6118465878
215	0.7184375	0.6117284678
216	0.7185625	0.6115986083
217	0.7183125	0.6114510492
218	0.71875	0.611163056
219	0.719125	0.6107674569
220	0.7193125	0.6106667398
221	0.7194375	0.6104756849
222	0.7198125	0.6102737274
223	0.719875	0.6100497207
224	0.7200625	0.6099809997
225	0.720125	0.60984899
226	0.7200625	0.6095904426
227	0.72	0.6094368831
228	0.72025	0.6092189947
229	0.7208125	0.6089604652
230	0.7209375	0.6086636405
231	0.72075	0.6084161375
232	0.7208125	0.6081917962
233	0.7205	0.6080246266
234	0.7206875	0.6079180322
235	0.720875	0.6077748859
236	0.72125	0.6074220498
237	0.7214375	0.6072721001
238	0.72175	0.6070088042
239	0.7218125	0.6068018876
240	0.721875	0.6065646495
241	0.721875	0.6064715674
242	0.721875	0.6063962226
243	0.72175	0.606148171
244	0.7219375	0.6059564005
245	0.721875	0.6058402431
246	0.7219375	0.6056987084
247	0.722	0.6053998451
248	0.72225	0.6050419672
249	0.7223125	0.6049295839
250	0.7225625	0.6045993604
251	0.7225	0.60444201
252	0.722625	0.6042197427
253	0.7226875	0.6040265029
254	0.72275	0.603903774
255	0.722625	0.6037449085
256	0.7230625	0.6035728926
257	0.72325	0.6035049868
258	0.7235	0.603328649
259	0.723625	0.6030718386
260	0.7234375	0.602960904
261	0.7235	0.602655983
262	0.72325	0.602531621
263	0.7235	0.6023931369
264	0.7234375	0.6019595385
265	0.7235	0.60188149
266	0.724375	0.6016706117
267	0.724375	0.6015172623
268	0.72425	0.6012666687
269	0.7243125	0.6010420664
270	0.7245	0.6009008443
271	0.7241875	0.6006871609
272	0.7248125	0.6004410289
273	0.724875	0.6001921391
274	0.7245625	0.5999665674
275	0.724625	0.5997082331
276	0.7249375	0.5993643308
277	0.7249375	0.599209657
278	0.725125	0.5990436507
279	0.7256875	0.5988591652
280	0.725625	0.5986420226
281	0.7261875	0.5983506632
282	0.725875	0.5981550315
283	0.726625	0.5979299589
284	0.72675	0.5975190961
285	0.7269375	0.597404967
286	0.727125	0.5971904067
287	0.7275	0.596994929
288	0.7275	0.5967199506
289	0.727625	0.5965196953
290	0.7271875	0.5962265423
291	0.7275	0.5958069468
292	0.72725	0.5955231608
293	0.7274375	0.5954358546
294	0.727625	0.595206121
295	0.72775	0.5948560166
296	0.7280625	0.5945792684
297	0.7281875	0.5942180568
298	0.7285	0.5939089299
299	0.7288125	0.5935929131
300	0.729	0.5933549154
301	0.729125	0.5931371631
302	0.7290625	0.5930753069
303	0.7294375	0.5928464329
304	0.7294375	0.5926991061
305	0.7291875	0.5925660895
306	0.729125	0.5923919582
307	0.729375	0.5921938439
308	0.7294375	0.5921530094
309	0.7296875	0.5917978542
310	0.729875	0.5913776924
311	0.7299375	0.5910963889
312	0.7298125	0.5908923152
313	0.7299375	0.5905607615
314	0.730375	0.5901609798
315	0.730375	0.5900311404
316	0.73075	0.5897921569
317	0.730625	0.5894882784
318	0.730875	0.5893807317
319	0.731	0.589276684
320	0.73125	0.5889954802
321	0.7316875	0.5887360859
322	0.7324375	0.5884544823
323	0.7324375	0.5881058514
324	0.7326875	0.587848439
325	0.73275	0.5877039977
326	0.73275	0.5875304051
327	0.7330625	0.5873192775
328	0.73325	0.5871747761
329	0.7331875	0.5870508719
330	0.7336875	0.5868129455
331	0.733875	0.5866285397
332	0.733875	0.5862057614
333	0.7340625	0.5859134501
334	0.734	0.5858036563
335	0.734	0.5856694086
336	0.7338125	0.5854181371
337	0.73425	0.5851044153
338	0.73425	0.5849658783
339	0.7346875	0.5848545227
340	0.735125	0.5844980877
341	0.73475	0.5844215879
342	0.734875	0.5842505091
343	0.7348125	0.5839596196
344	0.7348125	0.5838527352
345	0.735125	0.5836051154
346	0.735125	0.5833787545
347	0.7351875	0.5833038528
348	0.735375	0.5831352896
349	0.735625	0.582913905
350	0.7356875	0.5827379106
351	0.7354375	0.5825781469
352	0.7355625	0.5823606788
353	0.7354375	0.5821634728
354	0.7359375	0.5819268992
355	0.735875	0.5817855863
356	0.7365	0.5815557917
357	0.7363125	0.5812436994
358	0.7363125	0.581130234
359	0.736375	0.5807519862
360	0.7364375	0.5806443799
361	0.7364375	0.5804521406
362	0.7366875	0.5803156631
363	0.736875	0.5799233755
364	0.7375	0.5795274036
365	0.7376875	0.5791430459
366	0.7375	0.5790333904
367	0.7379375	0.5788408332
368	0.738125	0.5787234399
369	0.7384375	0.5784547216
370	0.7385625	0.5782715527
371	0.7386875	0.5782176259
372	0.7385	0.5780802766
373	0.7389375	0.577790555
374	0.7389375	0.5775198386
375	0.7389375	0.5773004537
376	0.738875	0.5771561756
377	0.7391875	0.5768232864
378	0.739375	0.5766030176
379	0.7395	0.576237075
380	0.7395625	0.5759592072
381	0.7399375	0.5758028644
382	0.7399375	0.5756919123
383	0.7400625	0.5755774868
384	0.740375	0.5754405472
385	0.7404375	0.5750522471
386	0.7405625	0.5749342054
387	0.74075	0.574506923
388	0.7408125	0.574241465
389	0.7409375	0.5738759132
390	0.7408125	0.5737703341
391	0.7411875	0.5734017716
392	0.7414375	0.5732156323
393	0.741875	0.5731454266
394	0.7415625	0.5729141473
395	0.742375	0.5725714324
396	0.74275	0.5722628859
397	0.74275	0.5721508763
398	0.742875	0.5718724381
399	0.7430625	0.5714221232
400	0.7433125	0.5711570329
401	0.7431875	0.5709076876
402	0.74325	0.5706897825
403	0.74325	0.5704965779
404	0.744125	0.5701796476
405	0.7439375	0.5700149647
406	0.7438125	0.5699437067
407	0.7436875	0.5696199845
408	0.7441875	0.569389036
409	0.7444375	0.5693412189
410	0.7444375	0.5690343172
411	0.7445	0.5688295147
412	0.7445625	0.5686073951
